epoch,first_death_time,final_live_percentage,simulation_duration,method
106,998,0.0,3000,Traditional_RLBEEP
107,1169,0.0,3000,Traditional_RLBEEP
108,1002,0.0,3000,Traditional_RLBEEP
109,1176,0.0,3000,Traditional_RLBEEP
110,1140,0.0,3000,Traditional_RLBEEP
111,1004,0.0,3000,Traditional_RLBEEP
112,997,0.0,3000,Traditional_RLBEEP
113,999,0.0,3000,Traditional_RLBEEP
114,997,0.0,3000,Traditional_RLBEEP
115,995,0.0,3000,Traditional_RLBEEP
116,1004,0.0,3000,Traditional_RLBEEP
117,997,0.0,3000,Traditional_RLBEEP
118,1155,0.0,3000,Traditional_RLBEEP
119,1003,0.0,3000,Traditional_RLBEEP
120,1167,0.0,3000,Traditional_RLBEEP
121,998,0.0,3000,Traditional_RLBEEP
122,1005,0.0,3000,Traditional_RLBEEP
123,1003,0.0,3000,Traditional_RLBEEP
124,999,0.0,3000,Traditional_RLBEEP
125,1155,0.0,3000,Traditional_RLBEEP
126,999,0.0,3000,Traditional_RLBEEP
127,995,0.0,3000,Traditional_RLBEEP
128,993,0.0,3000,Traditional_RLBEEP
129,1000,0.0,3000,Traditional_RLBEEP
130,1156,0.0,3000,Traditional_RLBEEP
131,1165,0.0,3000,Traditional_RLBEEP
132,1003,0.0,3000,Traditional_RLBEEP
133,999,0.0,3000,Traditional_RLBEEP
134,993,0.0,3000,Traditional_RLBEEP
135,995,0.0,3000,Traditional_RLBEEP
136,1147,0.0,3000,Traditional_RLBEEP
137,999,0.0,3000,Traditional_RLBEEP
138,1009,0.0,3000,Traditional_RLBEEP
139,1000,0.0,3000,Traditional_RLBEEP
140,1002,0.0,3000,Traditional_RLBEEP
141,1168,0.0,3000,Traditional_RLBEEP
142,997,0.0,3000,Traditional_RLBEEP
143,997,0.0,3000,Traditional_RLBEEP
144,997,0.0,3000,Traditional_RLBEEP
145,1002,0.0,3000,Traditional_RLBEEP
146,997,0.0,3000,Traditional_RLBEEP
147,996,0.0,3000,Traditional_RLBEEP
148,999,0.0,3000,Traditional_RLBEEP
149,1004,0.0,3000,Traditional_RLBEEP
150,581,0.0,3000,Traditional_RLBEEP
151,1002,0.0,3000,Traditional_RLBEEP
152,1184,0.0,3000,Traditional_RLBEEP
153,994,0.0,3000,Traditional_RLBEEP
154,1001,0.0,3000,Traditional_RLBEEP
155,1182,0.0,3000,Traditional_RLBEEP
156,994,0.0,3000,Traditional_RLBEEP
157,1002,0.0,3000,Traditional_RLBEEP
158,1005,0.0,3000,Traditional_RLBEEP
159,1162,0.0,3000,Traditional_RLBEEP
160,1001,0.0,3000,Traditional_RLBEEP
161,1146,0.0,3000,Traditional_RLBEEP
162,1000,0.0,3000,Traditional_RLBEEP
163,1007,0.0,3000,Traditional_RLBEEP
164,995,0.0,3000,Traditional_RLBEEP
165,1158,0.0,3000,Traditional_RLBEEP
166,998,0.0,3000,Traditional_RLBEEP
167,296,0.0,3000,Traditional_RLBEEP
168,1176,0.0,3000,Traditional_RLBEEP
169,941,0.0,3000,Traditional_RLBEEP
170,998,0.0,3000,Traditional_RLBEEP
171,1152,0.0,3000,Traditional_RLBEEP
172,1178,0.0,3000,Traditional_RLBEEP
173,1148,0.0,3000,Traditional_RLBEEP
174,1007,0.0,3000,Traditional_RLBEEP
175,1004,0.0,3000,Traditional_RLBEEP
176,1001,0.0,3000,Traditional_RLBEEP
177,997,0.0,3000,Traditional_RLBEEP
178,997,0.0,3000,Traditional_RLBEEP
179,1002,0.0,3000,Traditional_RLBEEP
180,997,0.0,3000,Traditional_RLBEEP
181,995,0.0,3000,Traditional_RLBEEP
182,1165,0.0,3000,Traditional_RLBEEP
183,1160,0.0,3000,Traditional_RLBEEP
184,1002,0.0,3000,Traditional_RLBEEP
185,1000,0.0,3000,Traditional_RLBEEP
186,1005,0.0,3000,Traditional_RLBEEP
187,1003,0.0,3000,Traditional_RLBEEP
188,1002,0.0,3000,Traditional_RLBEEP
189,1181,0.0,3000,Traditional_RLBEEP
190,1145,0.0,3000,Traditional_RLBEEP
191,1155,0.0,3000,Traditional_RLBEEP
192,1153,0.0,3000,Traditional_RLBEEP
193,1147,0.0,3000,Traditional_RLBEEP
194,1002,0.0,3000,Traditional_RLBEEP
195,996,0.0,3000,Traditional_RLBEEP
196,1004,0.0,3000,Traditional_RLBEEP
197,1008,0.0,3000,Traditional_RLBEEP
198,1004,0.0,3000,Traditional_RLBEEP
199,996,0.0,3000,Traditional_RLBEEP
200,1003,0.0,3000,Traditional_RLBEEP
201,1157,0.0,3000,Traditional_RLBEEP
202,1000,0.0,3000,Traditional_RLBEEP
203,1002,0.0,3000,Traditional_RLBEEP
204,994,0.0,3000,Traditional_RLBEEP
205,1007,0.0,3000,Traditional_RLBEEP
206,1002,0.0,3000,Traditional_RLBEEP
207,1172,0.0,3000,Traditional_RLBEEP
208,1002,0.0,3000,Traditional_RLBEEP
209,999,0.0,3000,Traditional_RLBEEP
210,998,0.0,3000,Traditional_RLBEEP
211,1143,0.0,3000,Traditional_RLBEEP
212,994,0.0,3000,Traditional_RLBEEP
213,1162,0.0,3000,Traditional_RLBEEP
214,1169,0.0,3000,Traditional_RLBEEP
215,1160,0.0,3000,Traditional_RLBEEP
216,1191,0.0,3000,Traditional_RLBEEP
217,1009,0.0,3000,Traditional_RLBEEP
218,996,0.0,3000,Traditional_RLBEEP
219,1004,0.0,3000,Traditional_RLBEEP
220,991,0.0,3000,Traditional_RLBEEP
221,1167,0.0,3000,Traditional_RLBEEP
222,1005,0.0,3000,Traditional_RLBEEP
223,998,0.0,3000,Traditional_RLBEEP
224,990,0.0,3000,Traditional_RLBEEP
225,1166,0.0,3000,Traditional_RLBEEP
226,1001,0.0,3000,Traditional_RLBEEP
227,851,0.0,3000,Traditional_RLBEEP
228,997,0.0,3000,Traditional_RLBEEP
229,1001,0.0,3000,Traditional_RLBEEP
230,1002,0.0,3000,Traditional_RLBEEP
231,999,0.0,3000,Traditional_RLBEEP
232,1006,0.0,3000,Traditional_RLBEEP
233,998,0.0,3000,Traditional_RLBEEP
234,1001,0.0,3000,Traditional_RLBEEP
235,1003,0.0,3000,Traditional_RLBEEP
236,999,0.0,3000,Traditional_RLBEEP
237,994,0.0,3000,Traditional_RLBEEP
238,999,0.0,3000,Traditional_RLBEEP
239,997,0.0,3000,Traditional_RLBEEP
240,1139,0.0,3000,Traditional_RLBEEP
241,1006,0.0,3000,Traditional_RLBEEP
242,1003,0.0,3000,Traditional_RLBEEP
243,1010,0.0,3000,Traditional_RLBEEP
244,996,0.0,3000,Traditional_RLBEEP
245,995,0.0,3000,Traditional_RLBEEP
246,1181,0.0,3000,Traditional_RLBEEP
247,996,0.0,3000,Traditional_RLBEEP
248,1159,0.0,3000,Traditional_RLBEEP
249,995,0.0,3000,Traditional_RLBEEP
250,1146,0.0,3000,Traditional_RLBEEP
251,1002,0.0,3000,Traditional_RLBEEP
252,994,0.0,3000,Traditional_RLBEEP
253,1002,0.0,3000,Traditional_RLBEEP
254,1166,0.0,3000,Traditional_RLBEEP
255,1003,0.0,3000,Traditional_RLBEEP
256,997,0.0,3000,Traditional_RLBEEP
257,999,0.0,3000,Traditional_RLBEEP
258,1002,0.0,3000,Traditional_RLBEEP
259,1176,0.0,3000,Traditional_RLBEEP
260,1005,0.0,3000,Traditional_RLBEEP
261,999,0.0,3000,Traditional_RLBEEP
262,1185,0.0,3000,Traditional_RLBEEP
263,992,0.0,3000,Traditional_RLBEEP
264,1003,0.0,3000,Traditional_RLBEEP
265,996,0.0,3000,Traditional_RLBEEP
266,994,0.0,3000,Traditional_RLBEEP
267,995,0.0,3000,Traditional_RLBEEP
268,1006,0.0,3000,Traditional_RLBEEP
269,1164,0.0,3000,Traditional_RLBEEP
270,1182,0.0,3000,Traditional_RLBEEP
271,1003,0.0,3000,Traditional_RLBEEP
272,1006,0.0,3000,Traditional_RLBEEP
273,1004,0.0,3000,Traditional_RLBEEP
274,997,0.0,3000,Traditional_RLBEEP
275,1001,0.0,3000,Traditional_RLBEEP
276,992,0.0,3000,Traditional_RLBEEP
277,1155,0.0,3000,Traditional_RLBEEP
278,1003,0.0,3000,Traditional_RLBEEP
279,1006,0.0,3000,Traditional_RLBEEP
280,997,0.0,3000,Traditional_RLBEEP
281,999,0.0,3000,Traditional_RLBEEP
282,1154,0.0,3000,Traditional_RLBEEP
283,1005,0.0,3000,Traditional_RLBEEP
284,1170,0.0,3000,Traditional_RLBEEP
285,1144,0.0,3000,Traditional_RLBEEP
286,1165,0.0,3000,Traditional_RLBEEP
287,1000,0.0,3000,Traditional_RLBEEP
288,1003,0.0,3000,Traditional_RLBEEP
289,992,0.0,3000,Traditional_RLBEEP
290,996,0.0,3000,Traditional_RLBEEP
291,1169,0.0,3000,Traditional_RLBEEP
292,1002,0.0,3000,Traditional_RLBEEP
293,994,0.0,3000,Traditional_RLBEEP
294,1003,0.0,3000,Traditional_RLBEEP
295,1004,0.0,3000,Traditional_RLBEEP
296,1179,0.0,3000,Traditional_RLBEEP
297,1176,0.0,3000,Traditional_RLBEEP
298,1006,0.0,3000,Traditional_RLBEEP
299,1000,0.0,3000,Traditional_RLBEEP
300,991,0.0,3000,Traditional_RLBEEP
